Cross By Night,"Aaron, David",1/97-- 6,6
Icy Clutches,"Aaron, Elkins",2/98-- 7.8,7.8
Gauntlet,"Aaron, Richard",7/09-- 7,7
Adrenaline,"Abbott, Jeff",8/11-- 10,10
"Last Minute, The","Abbott, Jeff",8/12-- 10,10
Fear,"Abbott, Jeff",10/06-- 9,9
Trust Me,"Abbott, Jeff",8/09-- 9,9
"Kiss Gone Bad, A","Abbott, Jeff",11/02-- 8.6,8.6
Collision,"Abbott, Jeff",8/08-- 8.5,8.5
Panic,"Abbott, Jeff",11/05-- 8.5,8.5
Distant Blood,"Abbott, Jeff",11/97-- 7.5,7.5
Scimitar,"Abbott, John",1/97-- 8.5,8.5
"Burying Field, The","Abel, Kenneth",6/02-- 8.8,8.8
Bait,"Abel, Kenneth",8/94-- 8,8
Cold Steel Rain,"Abel, Kenneth",4/01-- 7.8,7.8
Best Served Cold,"Abercrombie, Joe",9/09-- 7.4,7.4
Heroes,"Abercrombie, Joe",8/11-- 7,7
Blood of Patriots,"Abercrombie, Neil & Richard Hoyt",5/96-- 7,7
Denial,"Ablow, Keith",10/98-- 9,9
Compulsion,"Ablow, Keith",7/02-- 8.9,8.9
"Architect, The","Ablow, Keith",8/05-- 8,8
Murder Suicide,"Ablow, Keith",8/04-- 8,8
Psychopath,"Ablow, Keith",10/03-- 8,8
Mama Might be Better off Dead,"Abraham, Laurie Kaye",5/96-- 7.5,7.5
Oblivion,"Abrahams, Peter",5/05-- 9,9
"Tutor, The","Abrahams, Peter",9/02-- 9,9
Nerve Damage,"Abrahams, Peter",5/07-- 8.6,8.6
Delusion,"Abrahams, Peter",5/08-- 8,8
End of Story,"Abrahams, Peter",5/06-- 8,8
"Fan, The","Abrahams, Peter",11/98-- 7.9,7.9
Last of the Dixie Heroes,"Abrahams, Peter",7/01-- 7.9,7.9
Crying Wolf,"Abrahams, Peter",5/00-- 7.6,7.6
"Perfect Crime, A","Abrahams, Peter",12/98-- 7.1,7.1
Bloody Bonsai,"Abresch, Peter",5/98-- 7.9,7.9
Killing Thyme,"Abresch, Peter",11/99-- 7.5,7.5
Scar Night,"Acampbell, Alan",2/07-- 7,7
"Trial of Elizabeth Cree, The","Ackroyd, Peter",6/95-- 6,6
Hot Ice,"Adair, Cherry",10/05-- 8.2,8.2
White Head,"Adair, Cherry",7/07-- 7.9,7.9
On Thin Ice,"Adair, Cherry",9/04-- 7.5,7.5
Night Shadow,"Adair, Cherry",2/09-- 7,7
"Rainaldi Quartet, the","Adam, Paul",3/06-- 8.9,8.9
Oracle Lake,"Adam, Paul",8/07-- 7.5,7.5
White Horse,"Adams, Alex",5/12-- 7.8,7.8
White Horse,"Adams, Alex",5/12-- 7.8,7.8
Medicine Men,"Adams, Alice",5/97-- 7,7
Medicine Man,"Adams, Alice",4/97-- 6,6
"Long Dark Tea, The","Adams, Douglas",11/97-- 6,6
"Restaurant at the End of the Universe, The","Adams, Douglas",4/96-- 6,6
Hatchet Job,"Adams, Harold",9/97-- 7,7
Heatwave,"Adams, Jane A.",3/05-- 8.1,8.1
Mia,"Adams, Richard",8/92-- 7.5,7.5
"Cat of One's Own, A","Adamson, Lydia",4/99-- 7.8,7.8
"Cat on a Beach Blanket, A","Adamson, Lydia",10/97-- 7.5,7.5
"Cat on a Jingle Bell Rock, A","Adamson, Lydia",10/97-- 7.5,7.5
Dr. Nightingale Follows a Canine Clue,"Adamson, Lydia",8/01-- 7.4,7.4
Dark Maze,"Adcock, Thomas",11/97-- 7.5,7.5
Grief Street,"Adcock, Thomas",10/97-- 7,7
Devil's Heaven,"Adcock, Thomas",4/98-- 6.5,6.5
Now or Never,"Adler, Elizabeth",5/97-- 8.5,8.5
Sooner or Later,"Adler, Elizabeth",3/98-- 8.5,8.5
In a Heartbeat,"Adler, Elizabeth",2/01-- 8,8
"Last Time I Saw Paris, The","Adler, Elizabeth",8/01-- 7.8,7.8
All or Nothing,"Adler, Elizabeth",4/00-- 7,7
"Secret of Villa Mimosa, The","Adler, Elizabeth",5/95-- 6,6
Time Machine,"Adler,Jr. Bill ",5/98-- 6,6
"Absent One, The","Adler-Olsen, Jussi",9/12-- 7.5,7.5
Crux,"Aellen, Richard",5/97-- 7.5,7.5
The Wall At the Edge of the World,"Aikin, Jim",8/93-- 7.5,7.5
